Sexo;Longitud Total;Longitud Estandar;Longitud de la cabeza;Peso Total
0;23.7;17.9;5.8;280.03
0;24.7;18.7;6.3;305.36
0;24.4;18.9;6.6;305.07
1;23;18.4;5.9;270.78
1;22.7;17.7;5.7;259.4
1;23.5;19.6;5.9;295.41
0;22.5;17.3;5.1;232.17
0;22.3;17.4;6.1;235.41
0;22.4;17.4;5.6;245.48
1;22.7;17.5;5.8;260.21
1;23.5;17.3;5.5;235.06
1;24.5;17.3;5.1;225.88
0;22.8;17.7;5.6;250.02
0;25;20.1;6.3;305.07
0;24;19.4;6.6;315.21
1;22.3;17.2;56;240.19
1;22.7;18;5.9;225.42
1;21;17.3;5.3;205.35
0;25.1;20.1;6.5;344.56
0;25.2;20.2;6.3;325.19
0;26;19.9;5.9;325.6
1;24.6;20.4;6;390.02
1;24.5;19.6;6;315.02
1;25.8;20.6;6.6;326.31
0;24.1;24.1;6.3;320.92
0;25.6;25.6;6;345.63
0;25.4;25.4;5.7;345.93
1;24.3;19.7;6.1;320.02
1;24.6;20.4;6.5;335.63
1;24.9;20.3;6;310.98
0;25.8;20.1;6.1;365.27
0;26.1;20.6;6.5;330.32
0;24.9;20.3;6.9;331.9
1;25.5;20.5;7;375.25
1;24.6;20;6.4;320
1;23.7;19.1;5.5;290.5
0;23.7;17.9;5.8;280.03
0;24.7;18.7;6.3;305.36
0;24.4;18.9;6.6;305.07
1;23;18.4;5.9;270.78
1;22.7;17.7;5.7;259.4
1;23.5;19.6;5.9;295.41
0;22.5;17.3;5.1;232.17
0;22.3;17.4;6.1;235.41
0;22.4;17.4;5.6;245.48
1;22.7;17.5;5.8;260.21
1;23.5;17.3;5.5;235.06
1;24.5;17.3;5.1;225.88
0;22.8;17.7;5.6;250.02
0;25;20.1;6.3;305.07
0;24;19.4;6.6;315.21
1;22.3;17.2;5.6;240.19
1;22.7;18;5.9;225.42
1;21;17.3;5.3;205.35
0;25.1;20.1;6.5;344.56
0;25.2;20.2;6.3;325.19
0;26;19.9;5.9;325.6
1;24.6;20.4;6;390.02
1;24.5;19.6;6;315.02
1;25.8;20.6;6.6;326.31
0;24.1;24.1;6.3;320.92
0;25.6;25.6;6;345.63
0;25.4;25.4;5.7;345.93
1;24.3;19.7;6.1;320.02
1;24.6;20.4;6.5;335.63
1;24.9;20.3;6;310.98
0;25.8;20.1;6.1;365.27
0;26.1;20.6;6.5;330.32
0;24.9;20.3;6.9;331.9
1;25.5;20.5;7;375.25
1;24.6;20;6.4;320
1;23.7;19.1;5.5;290.5
